 ,Category,Organization,Start Date,End Date,Location,Description,URL,Graduate Credit,Emily: 👍
MISBO Fall Conference,Leadership,Mid-South Independent School Business Officers (MISBO),"Wednesday, October 3, 2018",,"Hilton Head, SC","For the past several years independent schools have been asking some big questions. What will the students of tomorrow need, and how do we anticipate those needs? Do we have the right mix of programs, facilities, faculty, and technology to support those needs?

The 2018 MISBO Fall Conference will connect you with industry professionals, along with some of our schools’ brightest leaders, providing you with answers to these questions. Keynote speaker Ian Symmonds will kick off the conference with three critical questions facing independent schools today, and better yet, he will guide you to find the answers for your school; you will be inspired by the engaging “Leadership Lessons from the Fields of Gettysburg”, which draws parallels between battle strategies and critical leadership traits (who knew?); the final day will have you reimagining student assessment and what that could mean for our country’s future leaders with The Mastery Transcript Consortium. Additional breakout sessions will broaden these themes, designed to offer solutions to many of the issues you face every day: hiring for key positions, compensation design, security, as well as long range and capital budget planning. 

This conference will also feature MISBO’s signature “Sourcing Solutions” session, providing attendees an opportunity to leave with valuable takeaways from MISBO vendors in short 15-minute mini-sessions, along with dedicated exhibit time to talk with vendors and sponsors. And as always, there will be endless opportunities to network and collaborate with your peers!

Join us as we not only ask the important questions, but also provide the answers for you to take back to your school.",https://www.misbo.com/events/fall18,,
Using Tier I Materials to Teach About Contested Issues: The Choices Approach,"Pedagogy, Humanities, History, Global Studies",Brown University,"Thursday, October 4, 2018",,"New Orleans, LA","Our workshops are completely interactive, so be ready to be engaged and inspired!
Participants will be introduced to the Choices Program’s award-winning resources and approach to teaching about contested issues and exploring multiple perspectives.

You will be immersed in the Immigration and the U.S. Policy Debate unit and will examine parts of the Freedom Now: The Civil Rights Movement in Mississippi unit. Both units are provided. Participants will discuss ways to adapt these units to specific classroom goals.

Participants will also have the opportunity to network with colleagues in social studies education from across the state.

Hosted by Cohen College Prep.",http://www.choices.edu/event/new-orleans-2018/,,
National Council of Teachers of Mathematics Regional Conferences,"STEM, Math",National Council of Teachers of Mathematics,"Thursday, October 4, 2018","Saturday, October 6, 2018","Hartford, CT","Join us to connect face-to-face with your peers in education and to focus on the learning and resources that promote the mathematical habits of mind that will lead your students to college and career success.

Whether you're a classroom teacher, math coach, administrator, math teacher educator, teacher-in-training, or math specialist, there's something for you at the NCTM Regional Conferences & Expositions.",http://www.nctm.org/Conferences-and-Professional-Development/Regional-Conferences-and-Expositions/,,
Teaching about Genocide and Human Rights: The Choices Approach,"Pedagogy, Humanities, History, Global Studies",Brown University,"Friday, October 5, 2018",,"Hartford, CT","Our workshops are completely interactive, so be ready to be engaged and inspired!

Participants will be immersed in the Confronting Genocide: Never Again unit and will examine parts of the Competing Visions of Human Rights: Questions for U.S. Policy unit.  Both units are provided. Participants will discuss ways to adapt these units to address CT Senate Bill 452, which requires Connecticut school districts to include information on genocide and the Holocaust in the curriculum.

During the workshop, you will:

Be introduced to the Choices Program’s award-winning resources and approach to teaching about contested international issues;
Examine and work with the Choices units Confronting Genocide: Never Again and Competing Visions of Human Rights: Questions for U.S. Policy (provided);
Network with exemplary colleagues in social studies education from across the area.",http://www.choices.edu/event/teaching-genocide-human-rights-choices-approach-2/,,
NAIS Leadership Through Partnership (LTP),Leadership,NAIS & the Center for Creative Leadership,"Friday, October 5, 2018","Sunday, October 7, 2018","Washington, DC","NAIS, in partnership with the Center for Creative Leadership, has enhanced and refined the Leadership Through Partnership workshop to enable effective, successful board and head relationships. ",https://www.nais.org/participate/institutes-workshops/leadership-through-partnership/,,
"ALAS 15th Annual Education Summit: ""Equity: United We Stand!""
","Diversity/Equity/Inclusion, Leadership",Association of Latino Administrators and Superintendents,"Wednesday, October 10, 2018","Saturday, October 13, 2018","San Diego, CA","Join us for the 2018 Education Summit, designed for educators from across the country to work together to address challenges in the education system, particularly those impacting Latinos. We provide a unique forum to engage in meaningful discussions and identify solutions that can be applied throughout the industry. Check back for more details coming soon.",http://www.alasedu.org/events/2018-education-summit,,
"National Science Teachers Association (NSTA) Area Conference: ""Elevating Science: Digging Deeper""","STEM, Science",National Science Teachers Association (NSTA),"Thursday, October 11, 2018","Saturday, October 13, 2018","Reno, NV","NSTA conferences offer the latest in science content, teaching strategy, and research to enhance and expand your professional growth. Take advantage of this unique opportunity to collaborate with science education leaders and your peers. Each year, NSTA hosts a national conference on science education (in the spring), three area conferences (in the fall), and a STEM Forum & Expo.",http://www.nsta.org/conferences/area1.aspx,,
Presidents and the Constitution: Abraham Lincoln,"Humanities, History",Ashbrook Center at Ashland University and Liberty Fund,"Friday, October 12, 2018","Sunday, October 14, 2018","Springfield, IL","TeachingAmericanHistory.org and Liberty Fund are proud to continue their series of weekend colloquia for social studies teachers. These weekend programs allow teachers of American history and government to explore the themes of liberty and responsibility throughout America’s history and constitutional tradition.

Participating teachers will read a series of primary source documents, travel to a relevant historic site, and engage in conversation with a select group of colleagues over the course of a weekend. These conversations are open-ended – teachers are not expected to reach a set conclusion about the material, are not required to take an assessment, and are not asked to complete a lesson plan. Participating teachers are only expected to engage fully in conversation, taking an active role in each of the six discussion sessions throughout the weekend.

A special feature of our Liberty Fund Weekend Colloquia is the historical tour or experience, which enables participants to see firsthand the places where our history was made. These tours typically involve at least a moderate amount of walking, and the nature of some historic sites precludes access by people with some disabilities or challenges in moving – for example, the mansion at Mt. Vernon involves going up and down tight, steep stairs, and most sites do not have elevators. Please take this into consideration when deciding whether or not to apply, as participation in all parts of the program is required. Contact us if you have any questions.

Teachers selected to participate will have the cost of lodging, meals, and materials for the weekend’s colloquia covered through the generosity of Liberty Fund. In addition, participants will receive a stipend of $400 (contingent on full attendance at program activities) to defray the cost of travel to and from the program site.

Participation is based on a competitive application process. ",http://teachingamericanhistory.org/libertyfund/,,X
Teaching American History: Online Webinars - Hamilton vs. Jefferson – Great American Debates,"History, Humanities",Ashbrook Center at Ashland University,"Saturday, October 13, 2018",,Online,"Would America be a commercial republic, engaged in trade with the rest of the world and turning steadily toward industry and, eventually, urbanization? Or would the American experiment in self-government be best promoted and maintained by a nation of yeoman farmers, spread across a continent in small towns? Alexander Hamilton and Thomas Jefferson were intellectual giants of the American Revolution, and although their ideas about the shape America should take differed significantly, the passion and egotism with which both men advocated for their ideas was comparable and, unfortunately, only served to increase the rancor between them and their supporters.

Scholars
Christopher Burkett, Ashland University",http://teachingamericanhistory.org/event/webinar-hamilton-vs-jefferson-great-american-debates/,,
Women in Education Leadership,"Leadership, Diversity/Equity/Inclusion, Gender Studies","Harvard University: Graduate School of Education, PreK-12 Professional Education Programs","Saturday, October 13, 2018","Monday, October 15, 2018","Cambridge, MA","Educational leadership requires skill, passion, and perseverance, and these already-complex roles often present an additional set of challenges for women leaders.

Overview
Women in Education Leadership convenes senior leaders interested in strengthening their leadership skills to advance education initiatives. The program focuses on how female senior leaders can effectively navigate multiple responsibilities and constituencies, and it provides a unique opportunity for growth and renewal among diverse yet like-minded women.

Program Details
This three-day interactive program is designed to facilitate self-reflection and peer networking. Through workshops, lectures, and case discussions, you will learn to think more strategically and employ advanced leadership skills, with a special focus on effective negotiation and communication techniques. You will come away having made lasting connections with other women leaders who are equally committed to leading for change in education.
Objectives
Identify the unique leadership challenges and opportunities facing women in education today
Understand when and how gender plays a role in organizational and personal advancement
Learn how successful women negotiate for what they need to be effective leaders
Gain new strategies for building and leading senior leadership teams
Create a lasting network of women leaders across the sector who are affecting change in education",https://www.gse.harvard.edu/ppe/program/women-education-leadership,,
"Best Practices in the Teaching of Writing Conference - Instruments in a Common Band: Voice, Identity, and Respectful Dialogue","Literature, Humanities, Writing, Arts",Umass Amherst,"Saturday, October 13, 2018",,"Amherst, MA","WMWP’s annual fall conference features three rounds of concurrent sessions, plus a luncheon, awards, and a keynote speech by Kelly Norris, author of Too White: A Journey into the Racial Divide.",https://www.umass.edu/wmwp/node/188,,
Baypath University's 17th Writers' Day,"Humanities, Writing, Literature, Arts",Baypath University,"Sunday, October 14, 2018",,"East Longmeadow, MA","Join other aspiring and published writers for our 17th Writers' Day featuring Suzanne Strempek Shea, Jonathan Green, Lisa Romeo, Karol Jackowski, and Sophfronia Scott.

",http://www.baypath.edu/events-calendar/community-events/writers-day/,,
ITEC Fall Conference,"STEM, Technology",Iowa Technology & Education Connection,"Sunday, October 14, 2018","Tuesday, October 16, 2018","Des Moines, IA","Described by one participant as a ""mini-ISTE,"" this technology conference helps educators envision the ways they can incorporate technology in the classroom. ",http://www.itec-ia.org/?page_id=39,,
Teaching Students to Ask Their Own Questions: Best Practices in the Question Formulation Technique,Pedagogy,Harvard Graduate School of Education,"Monday, October 15, 2018","Sunday, November 4, 2018",Online,"Students who learn to ask their own questions become more curious, take ownership of their learning, and demonstrate greater comprehension of challenging content. The ability to ask one’s own questions is, indeed, one of the most important lifelong learning skills a student can acquire in the course of their education and, yet, it is rarely deliberately taught to all students. 

Overview
Introduced by former Dean James Ryan, Teaching Students to Ask Their Own Questions will be led by staff of the Right Question Institute (RQI), including Dan Rothstein and Luz Santana, RQI co-directors and co-authors of Make Just One Change: Teach Students to Ask Their Own Questions, which has quickly become a classic pedagogical text for strengthening inquiry in all classrooms, from kindergarten through higher education. The workshop will offer a differentiated active learning experience in the Question Formulation Technique (QFT), a simple yet robust method for teaching students to ask better questions that was developed by Rothstein and Santana through years of trial and error and practice-based research.

Program Details
The publication of Make Just One Change was a catalyst for hundreds of thousands of educators around the world to adopt the QFT and generate new knowledge about how to use it for different purposes. The experience and knowledge of educators in a remarkably wide range of classrooms inform the content and structure of this workshop on “best practices” in using the QFT. The workshop offers a very special opportunity for all educators, those new to the QFT and those already experienced in using it, to learn more about innovative ways to teach the skill of question formulation by applying the QFT for different teaching and learning goals in all kinds of classrooms.

The workshop will provide an in-depth exploration of key components for successful application of the QFT, including:

What is the core structure and flow of the QFT?
Why does the structure work across all classrooms and for all students?
What are best practices in adapting the QFT for your teaching and learning goals?
How does the facilitation of the QFT change some traditional expectations of teacher and student roles in learning?
What are “best practices” in design and facilitation of your use of the QFT?
The workshop will deploy a variety of teaching and learning methods to engage participants in individual as well as collaborative problem-solving, reflection, and engagement with QFT tools and resources. Instructional videos, readings, and online discussions will complement peer-to-peer learning with educators across diverse learning environments.

The online workshop will require a total of 10-12 hours of work. Participants will receive a certificate indicating completion of 10 clock hours of instruction.

Objectives
Understand how and why the skill of question-asking is critical to student achievement and agency in and out of the classroom
Learn the art and science behind the Question Formulation Technique (QFT)
Study and discuss examples of how the QFT is being used to promote increased student engagement and deeper learning among all students
Identify ways the teaching of questioning skills can make classrooms more equitable for all learners
Design a lesson or unit with the QFT in your area of expertise
Who Should Participate
PreK-12 teachers across all content and subject areas
Administrators, curriculum specialists, and instructional coaches",https://www.gse.harvard.edu/ppe/program/teaching-students-ask-their-own-questions-best-practices-question-formulation-technique,,
Improving Math Instruction Through Feedback,"Math, STEM, Pedagogy",Harvard Graduate School of Education,"Monday, October 15, 2018","Sunday, October 28, 2018",Online,"Learn practical approaches to improving math instruction using the Mathematical Quality of Instruction (MQI) coaching protocols.

Overview
How can the teacher observation process have a greater impact on the day-to-day instruction of math teachers? How can coaching be more specific, effective, and practical in the math classroom?

Improving Math Instruction Through Feedback is an online professional development program for K-12 educators looking to improve instructional coaching for math teachers. Based upon the research of HGSE Professor Heather Hill, the workshop provides strategies for promoting high-quality math instruction and explores the role of school leaders, instructional coaches, and peer teachers in that process. The workshop begins with an introduction to Mathematical Quality of Instruction (MQI), an observation instrument and set of protocols that support teachers, coaches, and principals in analyzing instruction and planning for improvement. You will then practice observing classrooms and engaging in coaching conversations using MQI and other protocols.  In the final portion of the workshop, you will explore strategies for using rubric-based coaching with instructional video capture in your own setting.

",https://www.gse.harvard.edu/ppe/program/improving-math-instruction-through-feedback,,
Workshop: Successful Negotiations: Navigating Challenging Conversations,"Pedagogy, Leadership",Association of Independent Schools New England (AISNE),"Tuesday, October 16, 2018",,"Natick, MA","Registration & Breakfast: 8:15 - 9:00 a.m.

Workshop begins: 9:00 a.m.

Presented by: Michelle Greenberg-Kobrin
Working in education requires many different types of conversations with many different groups of people. Whether it's with parents, administrators, colleagues or others, applying the principles of negotiation will help strengthen your ability to move groups and individuals towards positive outcomes that feel good to all.",https://www.aisne.org/events,,
Creating a Culture of Safety: Building Skills to Prevent & Respond to Sexual Misconduct in Schools & Youth Organizations,"Leadership, Counseling",Mass Kids,"Tuesday, October 16, 2018",,"Framingham, MA",This event will feature a day of skill-building sessions to increase the confidence of school and youth organization leaders to prevent and respond to a range of boundary-violating behaviors on the continuum of employee misconduct.,http://www.masskids.org/index.php/enough-abuse-campaign/national-conference-2018,,
Teaching about Genocide and Human Rights: The Choices Approach,"Pedagogy, Humanities, History, Global Studies",Brown University,"Thursday, October 18, 2018",,"Harrisburg, PA","Our workshops are completely interactive, so be ready to be engaged and inspired!
Participants will be introduced to the Choices Program’s award-winning resources and approach to teaching about contested issues and exploring multiple perspectives.

Teachers will be immersed in Confronting Genocide: Never Again and will examine parts of Competing Visions of Human Rights: Questions for U.S. Policy.  Both curriculum units are provided. Participants will discuss ways to adapt these units to specific classroom goals.

You will also have the opportunity to network with exemplary colleagues in social studies education from across the state.

Co-sponsored by The Pennsylvania Council for the Social Studies",http://www.choices.edu/event/teaching-genocide-human-rights-choices-approach/,,
The Habit-forming Workshop to Becoming a Systems Thinker,"Leadership, Pedagogy, School Design",Waters Foundation,"Thursday, October 18, 2018",,"Phoenix, AZ","This workshop will use the book, The Habit-forming Guide to Becoming a Systems Thinker, to introduce the foundation of systems thinking.

A systems thinking point of view encourages individuals to step back and see the whole picture, rather than focusing on just its parts. When individuals have a clear and deep understanding of their jobs, departments, divisions or organizations as whole systems, they are better equipped to identify leverage actions that lead to improvements and desired outcomes.

Through highly interactive and innovative approaches, participants will learn and practice strategies that will inform the quality of day-to-day interactions and propel desirable outcomes.

Whether you are a student, professional, business leader, community volunteer, civic leader, or simply a lifelong learner, you will walk away with new ideas, insights and skills to impact your system.

The day will be filled with interactive, hands-on activities for participants to understand and practice systems thinking concepts, including:

Learning and applying the 14 Habits of a Systems Thinker in a variety of contexts.
Understanding the causal interdependencies that influence the behavior of complex systems.
Identifying mental models that may influence behavior and actions.
Discovering concrete strategies to impact systems.
Practicing problem solving, decision making, and communication within groups that are made up of diverse perspectives working toward a common goal.																				",http://watersfoundation.org/professional-development-events/upcoming-events/,,
MassCUE Fall Conference,"Technology, STEM",MassCUE & M.A.S.S.,"Thursday, October 18, 2018",,"Foxborough, MA","We are pleased to announce the MassCUE and M.A.S.S. 2018 Annual Technology Conference,co-sponsored by the Massachusetts Computer Using Educators (MassCUE) and the Massachusetts Association of School Superintendents (M.A.S.S.).

Both organizations recognize the benefits of a collaborative partnership that focuses on the collective interests of our school districts.  We will be providing educators from across the Commonwealth and New England with exciting ways to enhance teaching and learning with technology.

",http://www.masscue.org/event/conference-fall-2018/,,
Mindfulness Retreat for Parents and Youth-Serving Professionals,"Counseling, Health",Garrison Institute & iBme,"Friday, October 19, 2018",10/21,"Garrison, NY","Please join us for the first iBme adult mindfulness retreat at Garrison Institute for parents/guardians, teachers, and youth-serving professionals.

On this retreat we will explore mindfulness, through formal meditation periods and relational mindfulness activities. Together, we will develop our skills of focused concentration, introspection, compassion, and insight. The emerging science of mindfulness suggests that mindfulness can help build emotional resilience, inner strength and well-being. Retreat practice helps us develop the flexibility to be present, kind, and skillful whether we are alone or interacting with others.

Each day will primarily be held in silence and will include sitting and walking meditation, small group activities, movement and free time. Please come prepared to participate in all aspects of the retreat with curiosity and a willingness to engage with challenge.",https://ibme.info/register/adults/adult-mindfulness-retreat-garrison/,,
2018 NCEA Catholic Leadership Summit,"Religion, Leadership",National Catholic Educational Association (NCEA) ,"Saturday, October 20, 2018","Wednesday, October 24, 2018","Jacksonville, FL",,https://www.cvent.com/events/2018-ncea-catholic-leadership-summit/registration-fe23e6abec074a0aadc2ba2256784329.aspx?fqp=true,,
iNACOL Symposium,"Online Learning, STEM, Technology",International Association for K-12 Online Learning (iNACOL),"Sunday, October 21, 2018","Wednesday, October 24, 2018","Nashville, TN  ","iNACOL’s annual conference is the industry’s leading event for K-12 competency-based, blended and online learning. Experts, practitioners, educators, policymakers, and researchers gather and work to transform education.

Attendees will find unprecedented networking opportunities and gain access to expertise, analysis, and trends in competency-based, blended and online education. Through thought-provoking sessions and information sharing, these leaders shape the future of education. The symposium includes more than 200 sessions, each with a specific track to guide attendees toward sessions that fit their unique professional learning needs.",http://www.inacol.org/symposium/,,
Computational Thinking: Creating Problem Solvers – Online,"Technology, STEM",MassCUE,"Monday, October 22, 2018","Monday, November 19, 2018",Online,Mold the students of today into the problem solvers and critical thinkers of tomorrow. This course provides a snapshot of the Massachusetts Digital Literacy and Computer Science Frameworks Computational Thinking strand and its related standards. It will supply you with a variety of creative ways to weave these standards into your teaching. We will use elements of technology and social media throughout the workshop to integrate key computational thinking concepts into students’ daily lives.,http://www.masscue.org/event/computationalthinking/?event_date=2018-10-22,,
Using Web 2.0 Tools to Motivate and Manage Students in collaboration with EDCO,"Technology, STEM",MassCUE,"Monday, October 22, 2018","Monday, November 19, 2018",Online,"Learn how to use a variety of simple, yet powerful, Web 2.0 tools that will help you manage student behavior as well as motivate students, focus their attention on learning, and do it in fun and engaging ways!  Many resources discussed in this course integrate with Google Apps for Education and/or Chrome.  ",http://www.masscue.org/event/web20/?event_date=2018-10-22,,
Teaching American History: Online Webinars -Brutus I – Documents in Detail,"History, Humanities",Ashbrook Center at Ashland University,"Wednesday, October 24, 2018",,Online,"Focus Document
Brutus I, 1787

Complementary Documents
Objections to the Constitution, George Mason, 1787
Centinel I, 1787

Scholars
Dr. John Moser, Ashland University
Dr. William Allen, Dean and Professor Emeritus, Michigan State University
Dr. Todd Estes, Oakland University",http://teachingamericanhistory.org/event/webinar-brutus-i-documents-in-detail/,,
"Diversity, Equity & Inclusion","Diversity/Equity/Inclusion, Gender Studies",Association of Independent Schools New England (AISNE),"Wednesday, October 24, 2018",,"Norwood, MA","with Robin DiAngelo and Darnell Moore

Robin has been a consultant and trainer for over 20 years on issues of racial and social justice. Learn More

Darnell's advocacy centers on marginal identity, youth development and other social justice issues in the U.S. and abroad. Learn More

Breakout Sessions include:
White Fragility
Transgender Student and Family Experiences
Implicit Bias in Hiring Practices
Teaching Black Panther
Supporting the Needs of Today's International Students
and much more",https://www.aisne.org/events/signature-conferences/diversity-equity-inclusion,,
The Principal's Center at Harvard University: Certificate in School Management and Leadership (CSML),"Leadership, Pedagogy, School Design",Harvard University Graduate School of Education,"Wednesday, October 24, 2018","Wednesday, November 21, 2018","Cambridge, MA","The Certificate in School Management and Leadership (CSML) is designed to provide preK-12 school leaders at all stages of their careers with frameworks, skills, and knowledge to drive change and to lead high-performing schools.

An innovative collaboration between the Harvard Graduate School of Education (HGSE) and Harvard Business School (HBS), the program integrates distinctive capabilities from both schools, combining expertise in managing teams and organizations with a commitment to school and instructional leadership.

CSML Overview
CSML will comprise four distinct yet interrelated courses, which may be taken individually or completed together to earn a comprehensive certificate. Together, these courses address topics most vital to leading successful schools. These four courses are:

Leading Change
Leading Schools
Leading People
Leading Learning
---

Founded in 1981, The Principals' Center at the Harvard Graduate School of Education provides aspiring and experienced school leaders from across the country and around the world with exemplary professional development to meet personal and professional challenges. The Principals' Center has dedicated itself to the support, development and improvement of school principals and other school leaders who influence the character and quality of a school.

Based on the premise that school leaders significantly influence best practice, The Principals' Center offers a variety of professional development programs designed to strengthen your leadership skills for greater impact.

No matter where you are from, you will connect with peers who face similar challenges and build a lasting professional network that will help support you throughout your career. Our institutes provide you with the time you need to reflect, refocus and recharge.

You will leave inspired, with new ideas and frameworks that you can put into practice the day you get back to your school. Enroll today and join our community of learners.",https://www.gse.harvard.edu/ppe/program/certificate-school-management-and-leadership-leading-change,,
